WSS1 WSS2 WSSadd WSSdrop split throughput time totalTraffic trafficSuccessNum
5.0 4.0 4.0 2.0 1.0 222.0 144 16.0 16.0
5.0 4.0 4.0 2.0 1.0 225.0 145 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 146 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 147 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 148 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 149 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 150 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 151 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 152 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 153 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 154 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 155 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 156 17.0 17.0
4.0 4.0 4.0 2.0 1.0 221.0 157 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 158 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 159 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 160 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 161 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 162 16.0 16.0
4.0 4.0 4.0 3.0 1.0 224.0 163 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 164 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 165 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 166 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 167 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 168 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 169 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 170 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 171 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 172 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 173 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 174 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 175 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 176 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 177 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 178 17.0 17.0
4.0 4.0 4.0 3.0 1.0 256.0 179 18.0 18.0
4.0 4.0 4.0 3.0 1.0 256.0 180 18.0 18.0
4.0 4.0 4.0 3.0 1.0 288.0 181 19.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 182 19.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 183 19.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 184 19.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 185 19.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 186 19.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 187 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 188 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 189 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 190 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 191 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 192 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 193 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 194 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 195 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 196 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 197 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 198 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 199 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 200 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 201 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 202 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 203 20.0 19.0
4.0 4.0 4.0 3.0 1.0 288.0 204 20.0 19.0
4.0 4.0 4.0 3.0 1.0 296.0 205 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 206 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 207 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 208 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 209 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 210 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 211 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 212 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 213 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 214 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 215 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 216 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 217 21.0 20.0
4.0 4.0 4.0 3.0 1.0 296.0 218 21.0 20.0
4.0 4.0 4.0 3.0 1.0 300.0 219 22.0 21.0
