index outport cost SuccessFlag
673 18.0 3.0 1.0
674 0.0 2.0 1.0
675 23.0 2.0 1.0
676 0.0 2.0 1.0
677 -1.0 0.0 -1.0
678 18.0 3.0 1.0
679 -1.0 0.0 -1.0
680 8.0 4.0 1.0
681 15.0 2.0 1.0
682 10.0 3.0 1.0
683 0.0 2.0 1.0
684 -1.0 0.0 -1.0
685 18.0 3.0 1.0
686 16.0 4.0 1.0
687 15.0 2.0 1.0
688 -1.0 0.0 -1.0
689 -1.0 0.0 -1.0
690 -1.0 0.0 -1.0
691 22.0 4.0 1.0
692 15.0 2.0 1.0
693 9.0 1.0 1.0
694 18.0 3.0 1.0
695 10.0 3.0 1.0
696 -1.0 0.0 -1.0
697 -1.0 0.0 -1.0
698 22.0 2.0 1.0
699 16.0 4.0 1.0
700 -1.0 0.0 -1.0
701 8.0 2.0 1.0
702 9.0 1.0 1.0
703 -1.0 0.0 -1.0
704 0.0 2.0 1.0
705 -1.0 0.0 -1.0
706 15.0 4.0 1.0
707 22.0 4.0 1.0
708 -1.0 0.0 -1.0
709 -1.0 0.0 -1.0
710 -1.0 0.0 -1.0
711 15.0 4.0 1.0
712 0.0 2.0 1.0
713 -1.0 0.0 -1.0
714 24.0 4.0 1.0
715 26.0 2.0 1.0
716 -1.0 0.0 -1.0
717 15.0 2.0 1.0
718 23.0 2.0 1.0
719 10.0 2.0 1.0
720 0.0 2.0 1.0
721 22.0 4.0 1.0
722 -1.0 0.0 -1.0
723 8.0 4.0 1.0
724 -1.0 0.0 -1.0
725 -1.0 0.0 -1.0
726 18.0 3.0 1.0
727 -1.0 0.0 -1.0
728 19.0 4.0 1.0
729 -1.0 0.0 -1.0
730 23.0 2.0 1.0
731 0.0 2.0 1.0
732 10.0 4.0 1.0
733 -1.0 0.0 -1.0
734 18.0 3.0 1.0
735 17.0 2.0 1.0
736 0.0 2.0 1.0
737 22.0 2.0 1.0
738 -1.0 0.0 -1.0
739 23.0 2.0 1.0
740 23.0 3.0 1.0
741 23.0 2.0 1.0
742 23.0 3.0 1.0
743 -1.0 0.0 -1.0
744 0.0 2.0 1.0
745 -1.0 0.0 -1.0
746 25.0 2.0 1.0
747 11.0 4.0 1.0
748 -1.0 0.0 -1.0
749 15.0 4.0 1.0
750 -1.0 0.0 -1.0
751 -1.0 0.0 -1.0
752 -1.0 0.0 -1.0
753 0.0 2.0 1.0
754 22.0 2.0 1.0
755 23.0 2.0 1.0
756 25.0 2.0 1.0
757 24.0 4.0 1.0
758 10.0 2.0 1.0
759 -1.0 0.0 -1.0
760 0.0 2.0 1.0
761 15.0 4.0 1.0
762 23.0 3.0 1.0
763 -1.0 0.0 -1.0
764 0.0 2.0 1.0
765 -1.0 0.0 -1.0
766 22.0 4.0 1.0
767 0.0 2.0 1.0
768 -1.0 0.0 -1.0
769 22.0 4.0 1.0
770 10.0 3.0 1.0
771 26.0 4.0 1.0
772 23.0 4.0 1.0
773 18.0 3.0 1.0
774 10.0 4.0 1.0
775 27.0 4.0 1.0
