SuccessFlag cost index outport
1.0 2.0 363 25.0
1.0 3.0 364 13.0
1.0 3.0 365 16.0
1.0 3.0 366 15.0
1.0 3.0 367 16.0
0.0 0.0 368 -1.0
1.0 3.0 369 26.0
0.0 0.0 370 -1.0
1.0 2.0 371 0.0
1.0 2.0 372 0.0
0.0 0.0 373 -1.0
0.0 0.0 374 -1.0
1.0 2.0 375 8.0
1.0 2.0 376 0.0
0.0 0.0 377 -1.0
0.0 0.0 378 -1.0
1.0 3.0 379 24.0
1.0 3.0 380 24.0
1.0 2.0 381 10.0
0.0 0.0 382 -1.0
0.0 0.0 383 -1.0
0.0 0.0 384 -1.0
1.0 3.0 385 17.0
1.0 2.0 386 0.0
1.0 2.0 387 26.0
0.0 0.0 388 -1.0
1.0 2.0 389 0.0
0.0 0.0 390 -1.0
1.0 2.0 391 10.0
1.0 2.0 392 8.0
1.0 3.0 393 16.0
0.0 0.0 394 -1.0
0.0 0.0 395 -1.0
0.0 0.0 396 -1.0
1.0 3.0 397 21.0
0.0 0.0 398 -1.0
0.0 0.0 399 -1.0
0.0 0.0 400 -1.0
0.0 0.0 401 -1.0
0.0 0.0 402 -1.0
0.0 0.0 403 -1.0
0.0 0.0 404 -1.0
0.0 0.0 405 -1.0
1.0 2.0 406 0.0
0.0 0.0 407 -1.0
1.0 2.0 408 0.0
1.0 2.0 409 0.0
1.0 2.0 410 9.0
0.0 0.0 411 -1.0
0.0 0.0 412 -1.0
1.0 2.0 413 10.0
0.0 0.0 414 -1.0
0.0 0.0 415 -1.0
1.0 2.0 416 0.0
1.0 3.0 417 26.0
1.0 2.0 418 25.0
1.0 2.0 419 0.0
1.0 2.0 420 25.0
1.0 2.0 421 0.0
0.0 0.0 422 -1.0
1.0 2.0 423 0.0
0.0 0.0 424 -1.0
0.0 0.0 425 -1.0
1.0 2.0 426 0.0
0.0 0.0 427 -1.0
1.0 2.0 428 0.0
0.0 0.0 429 -1.0
0.0 0.0 430 -1.0
0.0 0.0 431 -1.0
1.0 2.0 432 0.0
0.0 0.0 433 -1.0
0.0 0.0 434 -1.0
1.0 2.0 435 0.0
1.0 2.0 436 9.0
1.0 2.0 437 8.0
0.0 0.0 438 -1.0
1.0 2.0 439 0.0
1.0 2.0 440 0.0
0.0 0.0 441 -1.0
0.0 0.0 442 -1.0
1.0 2.0 443 9.0
