SuccessFlag cost index outport
1.0 3.0 466 21.0
1.0 3.0 467 0.0
1.0 3.0 468 0.0
1.0 3.0 469 0.0
1.0 3.0 470 0.0
0.0 0.0 471 -1.0
1.0 1.0 472 18.0
0.0 0.0 473 -1.0
1.0 1.0 474 9.0
0.0 0.0 475 0.0
1.0 2.0 476 8.0
0.0 0.0 477 -1.0
0.0 0.0 478 -1.0
1.0 2.0 479 0.0
0.0 0.0 480 -1.0
1.0 3.0 481 8.0
0.0 0.0 482 -1.0
1.0 4.0 483 22.0
0.0 0.0 484 -1.0
0.0 0.0 485 -1.0
0.0 0.0 486 -1.0
1.0 1.0 487 10.0
1.0 3.0 488 14.0
1.0 2.0 489 0.0
0.0 0.0 490 -1.0
0.0 0.0 491 -1.0
1.0 1.0 492 10.0
0.0 0.0 493 -1.0
1.0 2.0 494 0.0
1.0 1.0 495 19.0
1.0 3.0 496 14.0
1.0 0.0 497 13.0
0.0 0.0 498 -1.0
1.0 3.0 499 14.0
1.0 3.0 500 22.0
1.0 2.0 501 12.0
1.0 3.0 502 0.0
0.0 0.0 503 -1.0
0.0 0.0 504 -1.0
0.0 0.0 505 -1.0
0.0 0.0 506 -1.0
1.0 2.0 507 23.0
1.0 2.0 508 23.0
1.0 3.0 509 22.0
1.0 1.0 510 10.0
0.0 0.0 511 -1.0
1.0 3.0 512 21.0
1.0 1.0 513 27.0
1.0 2.0 514 0.0
0.0 0.0 515 -1.0
1.0 3.0 516 0.0
0.0 0.0 517 -1.0
1.0 2.0 518 0.0
1.0 2.0 519 0.0
1.0 3.0 520 8.0
1.0 3.0 521 8.0
1.0 1.0 522 18.0
0.0 0.0 523 -1.0
1.0 3.0 524 21.0
1.0 3.0 525 14.0
1.0 3.0 526 0.0
1.0 3.0 527 0.0
1.0 3.0 528 22.0
0.0 0.0 529 -1.0
1.0 3.0 530 14.0
0.0 0.0 531 -1.0
0.0 0.0 532 -1.0
0.0 0.0 533 -1.0
1.0 2.0 534 0.0
1.0 1.0 535 9.0
0.0 0.0 536 -1.0
1.0 2.0 537 0.0
0.0 0.0 538 -1.0
1.0 2.0 539 15.0
0.0 0.0 540 -1.0
1.0 1.0 541 27.0
0.0 0.0 542 -1.0
1.0 3.0 543 22.0
0.0 0.0 544 -1.0
1.0 3.0 545 14.0
0.0 0.0 546 -1.0
0.0 0.0 547 0.0
1.0 3.0 548 0.0
1.0 2.0 549 0.0
1.0 2.0 550 0.0
1.0 3.0 551 14.0
1.0 3.0 552 0.0
1.0 3.0 553 22.0
1.0 3.0 554 22.0
0.0 0.0 555 -1.0
1.0 4.0 556 14.0
0.0 0.0 557 -1.0
0.0 0.0 558 0.0
1.0 0.0 559 25.0
1.0 0.0 560 17.0
0.0 0.0 561 -1.0
0.0 0.0 562 -1.0
1.0 1.0 563 19.0
1.0 1.0 564 19.0
1.0 2.0 565 11.0
0.0 0.0 566 -1.0
1.0 2.0 567 11.0
0.0 0.0 568 -1.0
1.0 3.0 569 14.0
0.0 0.0 570 -1.0
0.0 0.0 571 -1.0
1.0 3.0 572 22.0
0.0 0.0 573 -1.0
1.0 3.0 574 22.0
1.0 2.0 575 23.0
1.0 3.0 576 14.0
1.0 2.0 577 0.0
1.0 3.0 578 14.0
0.0 0.0 579 -1.0
0.0 0.0 580 -1.0
0.0 0.0 581 -1.0
0.0 0.0 582 -1.0
0.0 0.0 583 -1.0
1.0 3.0 584 14.0
1.0 2.0 585 0.0
1.0 1.0 586 9.0
1.0 0.0 587 10.0
1.0 2.0 588 0.0
0.0 0.0 589 -1.0
1.0 4.0 590 21.0
1.0 3.0 591 0.0
1.0 2.0 592 0.0
0.0 0.0 593 -1.0
0.0 0.0 594 -1.0
1.0 2.0 595 0.0
1.0 2.0 596 11.0
0.0 0.0 597 -1.0
1.0 3.0 598 23.0
1.0 2.0 599 0.0
0.0 0.0 600 -1.0
1.0 0.0 601 17.0
1.0 3.0 602 7.0
0.0 0.0 603 -1.0
1.0 3.0 604 18.0
1.0 3.0 605 0.0
0.0 0.0 606 -1.0
1.0 2.0 607 0.0
1.0 3.0 608 17.0
1.0 3.0 609 0.0
1.0 2.0 610 0.0
1.0 3.0 611 0.0
1.0 3.0 612 22.0
1.0 3.0 613 22.0
0.0 0.0 614 -1.0
1.0 3.0 615 0.0
1.0 2.0 616 8.0
1.0 3.0 617 0.0
1.0 3.0 618 7.0
1.0 3.0 619 17.0
1.0 1.0 620 9.0
1.0 2.0 621 23.0
0.0 0.0 622 -1.0
1.0 1.0 623 19.0
1.0 3.0 624 22.0
1.0 3.0 625 22.0
1.0 0.0 626 13.0
1.0 3.0 627 22.0
0.0 0.0 628 -1.0
0.0 0.0 629 -1.0
1.0 2.0 630 0.0
1.0 1.0 631 10.0
1.0 2.0 632 0.0
1.0 1.0 633 19.0
1.0 2.0 634 0.0
0.0 0.0 635 -1.0
1.0 2.0 636 0.0
0.0 0.0 637 -1.0
1.0 0.0 638 25.0
0.0 0.0 639 -1.0
1.0 3.0 640 7.0
1.0 3.0 641 22.0
1.0 3.0 642 0.0
0.0 0.0 643 -1.0
1.0 1.0 644 10.0
1.0 3.0 645 7.0
1.0 3.0 646 17.0
0.0 0.0 647 -1.0
1.0 3.0 648 7.0
1.0 4.0 649 21.0
1.0 1.0 650 10.0
1.0 3.0 651 23.0
0.0 0.0 652 -1.0
0.0 0.0 653 -1.0
1.0 0.0 654 9.0
1.0 3.0 655 0.0
0.0 0.0 656 -1.0
1.0 3.0 657 7.0
1.0 2.0 658 0.0
1.0 2.0 659 0.0
0.0 0.0 660 -1.0
1.0 2.0 661 0.0
1.0 3.0 662 7.0
1.0 2.0 663 0.0
0.0 0.0 664 -1.0
1.0 0.0 665 23.0
1.0 3.0 666 21.0
1.0 2.0 667 0.0
1.0 3.0 668 0.0
1.0 2.0 669 0.0
1.0 3.0 670 21.0
0.0 0.0 671 -1.0
0.0 0.0 672 -1.0
1.0 3.0 673 17.0
1.0 3.0 674 0.0
1.0 2.0 675 22.0
1.0 3.0 676 0.0
0.0 0.0 677 0.0
1.0 3.0 678 17.0
0.0 0.0 679 -1.0
1.0 1.0 680 9.0
1.0 2.0 681 16.0
1.0 3.0 682 7.0
1.0 3.0 683 0.0
0.0 0.0 684 -1.0
1.0 3.0 685 17.0
0.0 0.0 686 -1.0
1.0 2.0 687 16.0
0.0 0.0 688 -1.0
0.0 0.0 689 -1.0
1.0 2.0 690 0.0
0.0 0.0 691 -1.0
1.0 2.0 692 16.0
1.0 1.0 693 10.0
1.0 3.0 694 17.0
1.0 3.0 695 7.0
1.0 2.0 696 0.0
1.0 3.0 697 0.0
1.0 3.0 698 21.0
0.0 0.0 699 -1.0
1.0 2.0 700 0.0
1.0 3.0 701 8.0
1.0 1.0 702 10.0
0.0 0.0 703 -1.0
1.0 3.0 704 0.0
1.0 3.0 705 0.0
0.0 0.0 706 -1.0
0.0 0.0 707 -1.0
0.0 0.0 708 -1.0
1.0 3.0 709 0.0
0.0 0.0 710 -1.0
0.0 0.0 711 -1.0
1.0 3.0 712 0.0
0.0 0.0 713 0.0
0.0 0.0 714 -1.0
1.0 2.0 715 24.0
0.0 0.0 716 -1.0
1.0 2.0 717 16.0
1.0 3.0 718 21.0
1.0 3.0 719 8.0
1.0 3.0 720 0.0
1.0 1.0 721 27.0
1.0 3.0 722 0.0
1.0 1.0 723 9.0
1.0 3.0 724 0.0
0.0 0.0 725 0.0
1.0 3.0 726 14.0
0.0 0.0 727 0.0
1.0 0.0 728 17.0
